timestamp,event,symbol,score,price,qty,reason,open_pl,rotation_score,rotation_decision,notes
2026-05-05T15:13:45.637757,SHADOW_SMALL_CAP_BUY_DECISION,ROKU,68.0,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=39.0 | news=4.0
2026-05-05T15:13:45.638084,LEARNING_SHADOW_SKIP_BUY,U,69.5,,,skip buy,,,,
2026-05-05T15:19:24.237638,SHADOW_SELL_V2_SIGNAL,AAPL,66.4,,1.0,Research signal: no exit pressure.,11.04,,research_hold_neutral,shadow_only=true | version=v2.2 | pl_pct=4.099 | entry=269.32 | current=280.36
2026-05-05T15:19:24.237760,SHADOW_SELL_V2_SIGNAL,AMZN,76.86,,61.954933291,Research signal: position is working.,1073.086519,,research_hold_winner,shadow_only=true | version=v2.2 | pl_pct=6.716 | entry=257.904563 | current=275.225
2026-05-05T15:19:24.237844,SHADOW_CAPITAL_EFFICIENCY,U,69.5,,,Research signal: candidate edge is not large enough.,11.04,3.1,research_no_clear_edge,shadow_only=true | version=v2.2 | weakest=AAPL | weakest_score=66.4 | best_candidate=U
2026-05-05T15:19:24.237882,SHADOW_SMALL_CAP_BUY_DECISION,U,69.5,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=31.0 | news=5.0
2026-05-05T15:19:24.237913,SHADOW_SMALL_CAP_BUY_DECISION,ORCL,69.5,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=51.0 | news=5.0
2026-05-05T15:19:24.237953,SHADOW_SMALL_CAP_BUY_DECISION,ROKU,68.0,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=39.0 | news=4.0
2026-05-05T15:19:24.238305,LEARNING_SHADOW_SKIP_BUY,U,69.5,,,skip buy,,,,
2026-05-05T15:25:03.395257,SHADOW_SELL_V2_SIGNAL,AAPL,65.83,,1.0,Research signal: no exit pressure.,10.66,,research_hold_neutral,shadow_only=true | version=v2.2 | pl_pct=3.958 | entry=269.32 | current=279.98
2026-05-05T15:25:03.395395,SHADOW_SELL_V2_SIGNAL,AMZN,77.07,,61.954933291,Research signal: position is working.,1081.450435,,research_hold_winner,shadow_only=true | version=v2.2 | pl_pct=6.768 | entry=257.904563 | current=275.36
2026-05-05T15:25:03.395481,SHADOW_CAPITAL_EFFICIENCY,U,69.5,,,Research signal: candidate edge is not large enough.,10.66,3.67,research_no_clear_edge,shadow_only=true | version=v2.2 | weakest=AAPL | weakest_score=65.83 | best_candidate=U
2026-05-05T15:25:03.395531,SHADOW_SMALL_CAP_BUY_DECISION,U,69.5,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=31.0 | news=5.0
2026-05-05T15:25:03.395565,SHADOW_SMALL_CAP_BUY_DECISION,ORCL,69.5,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=51.0 | news=5.0
2026-05-05T15:25:03.395594,SHADOW_SMALL_CAP_BUY_DECISION,ROKU,68.0,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=39.0 | news=4.0
