timestamp,portfolio_value,buying_power,open_pl
2026-05-02T07:41:49.936291,100151.44,173310.11,656.8692900000001
2026-05-02T07:46:50.385561,100151.44,173310.11,656.8692900000001
2026-05-02T07:51:50.867224,100151.44,173310.11,656.8692900000001
2026-05-02T07:56:51.292903,100151.44,173310.11,656.8692900000001
2026-05-02T08:01:51.774856,100151.44,173310.11,656.8692900000001
2026-05-02T08:06:52.275166,100151.44,173310.11,656.8692900000001
2026-05-02T08:11:52.744897,100151.44,173310.11,656.8692900000001
2026-05-02T08:16:53.296979,100151.44,173310.11,656.8692900000001
2026-05-02T08:21:53.771055,100151.42,173310.07,656.8692900000001
2026-05-02T08:26:54.264293,100151.42,173310.07,656.8692900000001
2026-05-02T08:31:54.761090,100151.42,173310.07,656.8692900000001
2026-05-02T08:36:55.241117,100151.42,173310.07,656.8692900000001
2026-05-02T08:41:55.713688,100151.42,173310.07,656.8692900000001
2026-05-02T08:46:56.167862,100151.42,173310.07,656.8692900000001
2026-05-02T08:51:56.556132,100151.42,173310.07,656.8692900000001
2026-05-02T08:56:57.040114,100151.42,173310.07,656.8692900000001
2026-05-02T09:01:57.548092,100151.42,173310.07,656.8692900000001
2026-05-02T09:06:57.996721,100151.42,173310.07,656.8692900000001
2026-05-02T09:11:58.610838,100151.42,173310.07,656.8692900000001
2026-05-02T09:16:59.123034,100151.42,173310.07,656.8692900000001
2026-05-02T09:21:59.602167,100151.42,173310.07,656.8692900000001
2026-05-02T09:27:00.093011,100151.42,173310.07,656.8692900000001
2026-05-02T09:32:00.721389,100151.42,173310.07,656.8692900000001
2026-05-02T09:37:01.236434,100151.42,173310.07,656.8692900000001
2026-05-02T09:42:01.744478,100151.42,173310.07,656.8692900000001
2026-05-02T09:47:04.859067,100151.42,173310.07,656.8692900000001
2026-05-02T09:52:05.351801,100151.42,173310.07,656.8692900000001
2026-05-02T09:57:05.844300,100151.42,173310.07,656.8692900000001
2026-05-02T10:02:06.342917,100151.42,173310.07,656.8692900000001
2026-05-02T10:07:06.821728,100151.42,173310.07,656.8692900000001
2026-05-02T10:12:07.327298,100151.42,173310.07,656.8692900000001
2026-05-02T10:17:07.817698,100151.42,173310.07,656.8692900000001
2026-05-02T10:22:08.342791,100151.42,173310.07,656.8692900000001
2026-05-02T10:27:08.825539,100151.42,173310.07,656.8692900000001
2026-05-02T10:32:09.490420,100151.42,173310.07,656.8692900000001
2026-05-02T10:37:09.969833,100151.42,173310.07,656.8692900000001
2026-05-02T10:42:10.416219,100151.42,173310.07,656.8692900000001
2026-05-02T10:47:10.901768,100151.42,173310.07,656.8692900000001
2026-05-02T10:52:11.336645,100151.42,173310.07,656.8692900000001
2026-05-02T10:57:12.050038,100151.42,173310.07,656.8692900000001
2026-05-02T11:02:12.554967,100151.42,173310.07,656.8692900000001
2026-05-02T11:07:13.056851,100151.42,173310.07,656.8692900000001
2026-05-02T11:12:13.536396,100151.42,173310.07,656.8692900000001
2026-05-02T11:17:13.939275,100151.42,173310.07,656.8692900000001
2026-05-02T11:22:14.634745,100151.42,173310.07,656.8692900000001
2026-05-02T11:27:15.134721,100151.42,173310.07,656.8692900000001
2026-05-02T11:32:15.769936,100151.42,173310.07,656.8692900000001
2026-05-02T11:37:16.244986,100151.42,173310.07,656.8692900000001
2026-05-02T11:42:16.749151,100151.42,173310.07,656.8692900000001
2026-05-02T11:47:17.141637,100151.42,173310.07,656.8692900000001
2026-05-02T11:52:17.647203,100151.42,173310.07,656.8692900000001
2026-05-02T11:57:18.127998,100151.42,173310.07,656.8692900000001
2026-05-02T12:02:18.606635,100151.42,173310.07,656.8692900000001
2026-05-02T12:07:19.091226,100151.42,173310.07,656.8692900000001
2026-05-02T12:12:19.505509,100151.42,173310.07,656.8692900000001
2026-05-02T12:17:20.027361,100151.42,173310.07,656.8692900000001
2026-05-02T12:22:20.474360,100151.42,173310.07,656.8692900000001
2026-05-02T12:27:21.071031,100151.42,173310.07,656.8692900000001
2026-05-02T12:32:21.650888,100151.42,173310.07,656.8692900000001
2026-05-02T12:37:22.160561,100151.42,173310.07,656.8692900000001
2026-05-02T12:42:22.717597,100151.42,173310.07,656.8692900000001
2026-05-02T12:47:23.319181,100151.42,173310.07,656.8692900000001
2026-05-02T12:52:23.808803,100151.42,173310.07,656.8692900000001
2026-05-02T12:57:24.308075,100151.42,173310.07,656.8692900000001
2026-05-02T13:02:24.814437,100151.42,173310.07,656.8692900000001
2026-05-02T13:07:25.236673,100151.42,173310.07,656.8692900000001
2026-05-02T13:12:25.693224,100151.42,173310.07,656.8692900000001
2026-05-02T13:17:26.166140,100151.42,173310.07,656.8692900000001
2026-05-02T13:22:26.667398,100151.42,173310.07,656.8692900000001
2026-05-02T13:27:27.172836,100151.42,173310.07,656.8692900000001
2026-05-02T13:32:27.808829,100151.42,173310.07,656.8692900000001
2026-05-02T13:37:28.241259,100151.42,173310.07,656.8692900000001
2026-05-02T13:42:28.739364,100151.42,173310.07,656.8692900000001
2026-05-02T13:47:29.216452,100151.42,173310.07,656.8692900000001
2026-05-02T13:52:29.697735,100151.42,173310.07,656.8692900000001
2026-05-02T13:57:30.138338,100151.42,173310.07,656.8692900000001
2026-05-02T14:02:30.644937,100151.42,173310.07,656.8692900000001
2026-05-02T14:07:31.130627,100151.42,173310.07,656.8692900000001
2026-05-02T14:12:31.800210,100151.42,173310.07,656.8692900000001
2026-05-02T14:17:32.505515,100151.42,173310.07,656.8692900000001
2026-05-02T14:22:32.977691,100151.42,173310.07,656.8692900000001
2026-05-02T14:27:33.713538,100151.42,173310.07,656.8692900000001
2026-05-02T14:32:34.109280,100151.42,173310.07,656.8692900000001
2026-05-02T14:37:34.553942,100151.42,173310.07,656.8692900000001
2026-05-02T14:42:34.971732,100151.42,173310.07,656.8692900000001
2026-05-02T14:47:35.423748,100151.42,173310.07,656.8692900000001
2026-05-02T14:52:35.898026,100151.42,173310.07,656.8692900000001
2026-05-02T14:57:36.306823,100151.42,173310.07,656.8692900000001
2026-05-02T15:02:36.772900,100151.42,173310.07,656.8692900000001
2026-05-02T15:07:37.279494,100151.42,173310.07,656.8692900000001
2026-05-02T15:12:37.755913,100151.42,173310.07,656.8692900000001
2026-05-02T15:17:38.203026,100151.42,173310.07,656.8692900000001
2026-05-02T15:22:38.653919,100151.42,173310.07,656.8692900000001
2026-05-02T15:27:39.143902,100151.42,173310.07,656.8692900000001
2026-05-02T15:32:39.609686,100151.42,173310.07,656.8692900000001
2026-05-02T15:37:40.147776,100151.42,173310.07,656.8692900000001
2026-05-02T15:42:40.649884,100151.42,173310.07,656.8692900000001
2026-05-02T15:47:42.091434,100151.42,173310.07,656.8692900000001
